2016-04-25 11:23:44,019 [New I/O client worker #12-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/com/fasterxml/oss-parent/25/oss-parent-25.pom
2016-04-25 11:23:44,382 [New I/O client worker #12-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/com/fasterxml/oss-parent/25/oss-parent-25.pom
2016-04-25 11:23:45,130 [Worker-50] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 11:23:46,630 [New I/O client worker #13-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/com/fasterxml/jackson/core/jackson-databind/2.7.3/jackson-databind-2.7.3.pom
2016-04-25 11:23:46,630 [New I/O client worker #13-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/com/fasterxml/jackson/core/jackson-databind/2.7.3/jackson-databind-2.7.3.pom
2016-04-25 11:23:47,398 [Worker-50] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 11:23:48,797 [New I/O client worker #14-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/com/fasterxml/jackson/core/jackson-annotations/2.7.0/jackson-annotations-2.7.0.pom
2016-04-25 11:23:48,797 [New I/O client worker #14-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/com/fasterxml/jackson/core/jackson-annotations/2.7.0/jackson-annotations-2.7.0.pom
2016-04-25 11:23:49,908 [Worker-50] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 11:23:52,282 [New I/O client worker #15-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/com/fasterxml/jackson/core/jackson-annotations/2.7.3/jackson-annotations-2.7.3.pom
